0	3
0	37
0	7
0	39
0	76
0	50
0	14
0	18
0	52
0	60
0	29
0	63
1	16
1	61
1	13
2	33
2	11
2	68
2	6
2	73
2	43
2	13
2	45
2	47
2	22
2	55
2	24
2	59
2	30
2	31
3	37
3	39
3	18
3	14
3	50
3	52
3	60
3	63
4	75
5	48
5	60
6	65
6	71
6	41
6	42
6	11
6	44
6	13
6	14
6	15
6	49
6	73
6	22
6	9
6	55
6	60
6	10
7	18
7	14
7	50
7	52
7	60
7	63
8	64
8	32
8	35
8	13
8	22
8	58
9	75
9	42
9	11
9	76
9	13
9	15
9	21
9	55
9	56
9	31
10	65
10	34
10	71
10	11
10	44
10	13
10	19
10	55
10	60
11	65
11	71
11	13
11	46
11	19
11	55
11	25
12	60
12	20
13	14
13	15
13	16
13	22
13	26
13	28
13	32
13	35
13	40
13	41
13	42
13	44
13	49
13	52
13	54
13	55
13	56
13	58
13	59
13	60
13	61
13	64
13	65
13	66
13	71
13	73
13	74
13	75
13	76
14	18
14	37
14	39
14	76
14	50
14	52
14	71
14	60
14	29
14	63
16	61
17	61
18	37
18	39
18	50
18	52
18	60
18	63
19	65
19	34
19	71
19	76
19	44
19	46
19	50
19	55
19	29
20	60
21	56
21	75
21	76
22	64
22	32
22	35
22	58
23	27
23	75
24	33
24	68
24	43
24	45
24	47
24	31
25	56
27	55
27	76
29	37
29	39
29	76
29	50
29	52
29	60
29	62
29	63
30	73
31	33
31	68
31	43
31	76
31	45
31	47
32	64
32	35
32	58
33	68
33	43
33	45
33	47
34	65
34	71
34	44
34	55
34	60
35	64
35	58
36	61
37	39
37	76
37	50
37	52
37	60
37	63
38	61
39	76
39	50
39	52
39	60
39	63
43	68
43	45
43	47
44	65
44	71
44	55
44	60
45	68
45	47
46	55
47	68
49	66
49	51
50	76
50	52
50	60
50	63
52	76
52	60
52	63
53	61
55	65
55	71
55	72
55	76
55	60
56	67
56	75
56	76
57	61
58	64
60	63
60	65
60	76
61	69
61	70
63	76
65	71
67	76
75	76
